Scenario,Avg Spread,Volatility,Trades,Final Price
A: Noise Only,2.0741599972332514,0.12287940226530941,93,100.0
B: Noise + Market Makers,0.28817653418308625,0.3004027782939849,219,100.7342529296875
C: Noise + Momentum,2.7389197000000034,0.15163794252472843,61,100.0
