timestamp,price,quantity,buyer,seller,spread
0,100.60000000000001,2,57,6,0.020000000000010232
1,100.18,2,34,30,0.020000000000010232
2,100.18,2,56,30,0.020000000000010232
2,100.46000000000001,1,56,12,0.020000000000010232
2,99.82000000000001,2,29,50,0.020000000000010232
4,100.05,1,49,45,0.020000000000010232
4,99.79,1,32,52,0.020000000000010232
4,99.79,3,32,43,0.020000000000010232
4,100.05,1,27,45,0.020000000000010232
4,100.05,1,57,45,0.020000000000010232
4,100.15,3,57,17,0.020000000000010232
4,100.21000000000001,3,51,33,-0.20000000000000284
6,99.68,2,16,59,-0.30999999999998806
6,100.03,1,34,33,0.020000000000010232
6,100.46000000000001,1,34,12,0.020000000000010232
6,100.46000000000001,1,34,13,-0.45000000000000284
7,99.56,2,36,0,-0.20999999999999375
8,99.56,1,36,14,-0.20999999999999375
8,99.47,2,10,14,-0.20999999999999375
8,99.78,2,31,13,-0.20999999999999375
8,99.78,1,32,13,-0.20999999999999375
8,100.53,2,0,10,0.020000000000010232
9,100.28,2,46,42,0.020000000000010232
10,99.91,1,32,45,0.020000000000010232
10,99.87,3,29,45,-0.11999999999999034
10,99.47,3,10,35,0.020000000000010232
11,99.82000000000001,4,32,30,-0.1699999999999875
11,100.28,2,60,42,0.020000000000010232
11,100.53,2,60,10,0.020000000000010232
14,99.60000000000001,4,52,50,-0.2599999999999909
17,99.73,2,17,36,-0.2599999999999909
17,99.60000000000001,1,55,14,0.020000000000010232
17,99.60000000000001,2,55,24,0.020000000000010232
18,100.2,2,16,11,0.020000000000010232
18,100.32000000000001,2,46,11,0.020000000000010232
20,99.60000000000001,1,30,35,-0.09999999999999432
20,99.59,1,37,35,-0.09999999999999432
20,99.89,1,42,26,-0.09999999999999432
20,99.93,2,42,33,-0.05999999999998806
20,100.18,1,42,32,0.020000000000010232
21,99.59,3,37,25,-0.3499999999999943
21,99.58,1,59,25,-0.3499999999999943
22,99.58,1,59,59,-0.3499999999999943
22,99.55,1,45,59,-0.3499999999999943
23,99.64,1,44,55,-0.3499999999999943
23,99.62,1,33,26,-0.23999999999999488
24,99.48,4,39,53,-0.4199999999999875
26,99.56,4,30,59,-0.4199999999999875
26,99.57000000000001,1,60,26,-0.4199999999999875
28,99.75,2,12,52,-0.23999999999999488
28,99.48,2,38,14,-0.09999999999999432
28,99.48,1,22,14,-0.09999999999999432
31,99.63,1,17,52,-0.35999999999999943
31,99.78,1,17,22,-0.09999999999999432
32,99.89,1,12,17,-0.09999999999999432
32,100.04,3,12,12,0.020000000000010232
33,100.05,2,30,26,-0.03999999999999204
33,100.07000000000001,1,49,11,-0.03999999999999204
35,100.07000000000001,2,48,11,-0.03999999999999204
35,100.2,1,48,54,-0.03999999999999204
37,100.05,2,30,37,-0.03999999999999204
37,99.98,1,45,37,0.020000000000010232
37,100.2,2,41,54,0.020000000000010232
37,100.2,1,47,54,0.020000000000010232
37,100.28,1,47,42,0.020000000000010232
38,100.03,1,11,50,-0.01999999999999602
40,100.21000000000001,2,54,13,-0.20000000000000284
41,100.03,2,11,38,-0.01999999999999602
41,99.98,1,45,38,0.020000000000010232
42,99.84,1,12,33,-0.14999999999999147
42,99.81,1,33,59,-0.14999999999999147
43,99.81,2,33,0,-0.14999999999999147
