timestamp,mid_price,best_bid,best_ask,spread,last_trade,fundamental_value,volume,order_book_depth
633,100.06,99.99,100.13,0.14000000000000057,99.78,94.85550934605283,0,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.78, 'volume': 3}], 'asks': [{'price': 100.13, 'volume': 1}, {'price': 100.58, 'volume': 9}, {'price': 100.59, 'volume': 13}]}"
634,100.285,99.99,100.58,0.5900000000000034,100.58,93.49828393411386,0,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.78, 'volume': 3}], 'asks': [{'price': 100.58, 'volume': 8}, {'price': 100.59, 'volume': 13}, {'price': 100.60000000000001, 'volume': 80}]}"
635,100.41499999999999,100.25,100.58,0.3299999999999983,100.58,93.59944687658057,2,"{'bids': [{'price': 100.25, 'volume': 3}, {'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}], 'asks': [{'price': 100.58, 'volume': 8}, {'price': 100.59, 'volume': 13}, {'price': 100.60000000000001, 'volume': 80}]}"
636,100.41499999999999,100.25,100.58,0.3299999999999983,100.25,93.17723669733553,0,"{'bids': [{'price': 100.25, 'volume': 1}, {'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}], 'asks': [{'price': 100.58, 'volume': 8}, {'price': 100.59, 'volume': 13}, {'price': 100.60000000000001, 'volume': 80}]}"
637,100.41499999999999,100.25,100.58,0.3299999999999983,100.58,92.44120965979619,2,"{'bids': [{'price': 100.25, 'volume': 1}, {'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}], 'asks': [{'price': 100.58, 'volume': 4}, {'price': 100.59, 'volume': 13}, {'price': 100.60000000000001, 'volume': 80}]}"
638,100.41499999999999,100.25,100.58,0.3299999999999983,100.58,93.94774144850082,4,"{'bids': [{'price': 100.25, 'volume': 1}, {'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}], 'asks': [{'price': 100.58, 'volume': 4}, {'price': 100.59, 'volume': 13}, {'price': 100.60000000000001, 'volume': 80}]}"
639,100.285,99.99,100.58,0.5900000000000034,99.78,94.4674344475129,0,"{'bids': [{'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}, {'price': 99.78, 'volume': 2}], 'asks': [{'price': 100.58, 'volume': 4}, {'price': 100.59, 'volume': 13}, {'price': 100.60000000000001, 'volume': 80}]}"
640,100.39500000000001,100.21000000000001,100.58,0.36999999999999034,99.78,95.51794714720259,2,"{'bids': [{'price': 100.21000000000001, 'volume': 4}, {'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}], 'asks': [{'price': 100.58, 'volume': 4}, {'price': 100.59, 'volume': 13}, {'price': 100.60000000000001, 'volume': 80}]}"
641,100.39500000000001,100.21000000000001,100.58,0.36999999999999034,99.78,95.9508218117764,0,"{'bids': [{'price': 100.21000000000001, 'volume': 4}, {'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}], 'asks': [{'price': 100.58, 'volume': 4}, {'price': 100.59, 'volume': 13}, {'price': 100.60000000000001, 'volume': 80}]}"
642,100.39500000000001,100.21000000000001,100.58,0.36999999999999034,100.58,95.41336925501251,0,"{'bids': [{'price': 100.21000000000001, 'volume': 4}, {'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}], 'asks': [{'price': 100.58, 'volume': 2}, {'price': 100.59, 'volume': 13}, {'price': 100.60000000000001, 'volume': 80}]}"
643,100.4,100.21000000000001,100.59,0.37999999999999545,100.59,95.33702739405538,2,"{'bids': [{'price': 100.21000000000001, 'volume': 4}, {'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}], 'asks': [{'price': 100.59, 'volume': 12}, {'price': 100.60000000000001, 'volume': 80}, {'price': 100.61, 'volume': 63}]}"
644,100.4,100.21000000000001,100.59,0.37999999999999545,100.59,96.25490592278446,3,"{'bids': [{'price': 100.21000000000001, 'volume': 1}, {'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}], 'asks': [{'price': 100.59, 'volume': 8}, {'price': 100.60000000000001, 'volume': 80}, {'price': 100.61, 'volume': 63}]}"
645,100.4,100.21000000000001,100.59,0.37999999999999545,100.59,96.66955402401526,7,"{'bids': [{'price': 100.21000000000001, 'volume': 1}, {'price': 99.99, 'volume': 0}, {'price': 99.96, 'volume': 0}], 'asks': [{'price': 100.59, 'volume': 8}, {'price': 100.60000000000001, 'volume': 80}, {'price': 100.61, 'volume': 63}]}"
