timestamp,order_id,agent_id,type,price,quantity,filled
13,438294618,55,LIMIT_BUY,99.60000000000001,3,0
14,364549491,36,LIMIT_SELL,99.73,2,0
14,399546693,27,LIMIT_SELL,100.74000000000001,2,0
14,548433730,50,LIMIT_SELL,99.12,0,4
14,408074436,38,LIMIT_BUY,99.48,2,0
15,232460183,2,LIMIT_BUY,98.53,5,0
15,156790831,53,LIMIT_BUY,99.3,4,0
15,456184923,2,LIMIT_SELL,101.19,5,0
15,643141632,5,LIMIT_BUY,99.13,5,0
15,111141958,3,LIMIT_SELL,100.88,5,0
15,248924802,4,LIMIT_SELL,100.82000000000001,5,0
15,63463473,9,LIMIT_SELL,100.82000000000001,5,0
15,618079996,7,LIMIT_SELL,101.3,5,0
15,628814900,10,LIMIT_BUY,99.32000000000001,5,0
15,66819361,10,LIMIT_SELL,100.4,5,0
15,489479769,6,LIMIT_SELL,100.48,5,0
15,891723645,1,LIMIT_SELL,101.26,5,0
15,362172253,8,LIMIT_SELL,100.41,5,0
15,869158616,40,LIMIT_SELL,100.42,2,0
15,222479526,4,LIMIT_BUY,98.9,5,0
15,551503700,6,LIMIT_BUY,99.24000000000001,5,0
15,702458182,1,LIMIT_BUY,98.46000000000001,5,0
15,810241359,7,LIMIT_BUY,98.42,5,0
15,166459761,8,LIMIT_BUY,99.31,5,0
15,836828679,13,LIMIT_BUY,99.18,4,0
15,332230309,9,LIMIT_BUY,98.9,5,0
15,2337181,59,LIMIT_BUY,99.58,2,0
15,781729403,11,LIMIT_SELL,100.2,2,0
15,76298454,5,LIMIT_SELL,100.59,5,0
15,520147694,3,LIMIT_BUY,98.84,5,0
16,455555579,32,LIMIT_SELL,100.34,4,0
16,324419660,23,LIMIT_SELL,100.7,3,0
16,35333905,39,LIMIT_BUY,99.09,4,0
17,938103024,31,LIMIT_SELL,100.89,2,0
17,369950316,17,LIMIT_BUY,99.85000000000001,0,2
17,337429511,14,LIMIT_SELL,98.79,0,1
17,568496166,24,LIMIT_SELL,99.12,0,2
17,668788355,45,LIMIT_BUY,99.55,1,0
18,699159401,16,LIMIT_BUY,100.96000000000001,0,2
18,257733240,11,LIMIT_SELL,100.32000000000001,4,0
18,375598751,49,LIMIT_SELL,101.04,3,0
18,267059294,60,LIMIT_SELL,100.97,3,0
18,782238498,46,LIMIT_BUY,100.88,0,2
18,47301995,33,LIMIT_SELL,99.93,2,0
18,342761358,43,LIMIT_BUY,99.34,1,0
19,840653164,26,LIMIT_SELL,99.89,1,0
19,224526701,54,LIMIT_SELL,100.2,4,0
19,15855978,32,LIMIT_SELL,100.18,1,0
19,699661594,57,LIMIT_SELL,100.85000000000001,3,0
20,406116412,2,LIMIT_BUY,98.61,5,0
20,449094093,6,LIMIT_BUY,99.32000000000001,5,0
20,118094181,8,LIMIT_BUY,99.39,5,0
20,17812428,30,LIMIT_BUY,99.60000000000001,1,0
20,321423145,9,LIMIT_BUY,98.98,5,0
20,17480862,9,LIMIT_SELL,100.9,5,0
20,301989926,4,LIMIT_SELL,100.9,5,0
20,603438651,6,LIMIT_SELL,100.56,5,0
20,58424717,2,LIMIT_SELL,101.27,5,0
20,526345633,7,LIMIT_SELL,101.38,5,0
20,457896505,10,LIMIT_BUY,99.4,5,0
20,221002654,1,LIMIT_BUY,98.54,5,0
20,455325935,3,LIMIT_SELL,100.96000000000001,5,0
20,192765361,10,LIMIT_SELL,100.48,5,0
20,36012289,3,LIMIT_BUY,98.92,5,0
20,683048737,4,LIMIT_BUY,98.98,5,0
20,779898773,1,LIMIT_SELL,101.34,5,0
20,216705049,5,LIMIT_BUY,99.21000000000001,5,0
20,892596607,8,LIMIT_SELL,100.49000000000001,5,0
20,562658268,7,LIMIT_BUY,98.5,5,0
20,230109594,5,LIMIT_SELL,100.67,5,0
20,621725403,35,LIMIT_SELL,98.76,0,2
20,336460088,42,LIMIT_BUY,100.24000000000001,0,4
21,617505411,52,LIMIT_SELL,99.75,2,0
21,41906303,50,LIMIT_BUY,98.79,3,0
21,995166570,55,LIMIT_SELL,99.64,1,0
21,679820537,25,LIMIT_SELL,99.24000000000001,0,4
22,541913509,59,LIMIT_SELL,99.43,0,2
22,114930247,39,LIMIT_BUY,99.02,1,0
22,614028233,19,LIMIT_BUY,98.82000000000001,4,0
22,364292029,33,LIMIT_BUY,99.62,1,0
22,265813990,12,LIMIT_SELL,100.04,3,0
22,802965012,48,LIMIT_SELL,100.53,2,0
22,536610663,36,LIMIT_BUY,99.21000000000001,2,0
23,405966908,44,LIMIT_BUY,100.48,0,1
23,758258008,26,LIMIT_SELL,99.57000000000001,1,1
23,529373416,24,LIMIT_BUY,99.04,4,0
23,205976884,15,LIMIT_BUY,99.19,2,0
24,530713183,34,LIMIT_SELL,100.43,3,0
24,616476349,43,LIMIT_BUY,99.02,4,0
24,722330464,20,LIMIT_BUY,99.19,3,0
24,502330062,53,LIMIT_SELL,99.14,0,4
24,192762517,30,LIMIT_BUY,99.56,4,0
25,149104764,8,LIMIT_SELL,100.33,5,0
25,99894540,2,LIMIT_BUY,98.45,5,0
25,515391296,1,LIMIT_BUY,98.38,5,0
25,489391222,22,LIMIT_BUY,99.48,1,0
25,787873121,3,LIMIT_BUY,98.76,5,0
25,970153312,7,LIMIT_BUY,98.34,5,0
25,785863296,8,LIMIT_BUY,99.23,5,0
25,177701619,7,LIMIT_SELL,101.22,5,0
25,446746742,6,LIMIT_SELL,100.4,5,0
25,820837679,5,LIMIT_BUY,99.05,5,0
25,22186568,39,LIMIT_BUY,99.26,3,0
25,191901613,4,LIMIT_SELL,100.74000000000001,5,0
25,435555722,9,LIMIT_BUY,98.82000000000001,5,0
25,57059479,2,LIMIT_SELL,101.11,5,0
25,369707672,1,LIMIT_SELL,101.18,5,0
25,524441561,10,LIMIT_SELL,100.32000000000001,5,0
25,868289176,9,LIMIT_SELL,100.74000000000001,5,0
25,878339449,3,LIMIT_SELL,100.8,5,0
25,944228960,4,LIMIT_BUY,98.82000000000001,5,0
25,514643413,10,LIMIT_BUY,99.24000000000001,5,0
25,640123853,6,LIMIT_BUY,99.16,5,0
25,340820794,5,LIMIT_SELL,100.51,5,0
26,531597521,17,LIMIT_SELL,99.89,1,0
26,31757383,41,LIMIT_SELL,100.60000000000001,3,0
26,64257858,59,LIMIT_SELL,99.32000000000001,0,4
26,170396874,60,LIMIT_BUY,100.54,0,1
26,86281742,47,LIMIT_SELL,100.75,4,0
27,739740054,40,LIMIT_SELL,100.53,3,0
27,512082846,57,LIMIT_SELL,100.56,1,0
28,814479303,12,LIMIT_BUY,100.10000000000001,0,2
28,139638007,28,LIMIT_SELL,100.60000000000001,3,0
28,739225969,18,LIMIT_BUY,99.35000000000001,1,0
28,930090802,14,LIMIT_SELL,98.87,0,3
30,437385769,1,LIMIT_SELL,101.34,5,0
30,941631251,2,LIMIT_BUY,98.61,5,0
30,636556934,6,LIMIT_BUY,99.32000000000001,5,0
30,791345453,1,LIMIT_BUY,98.54,5,0
30,983299854,2,LIMIT_SELL,101.27,5,0
30,187972873,5,LIMIT_BUY,99.21000000000001,5,0
30,210246130,4,LIMIT_BUY,98.98,5,0
30,824814087,21,LIMIT_BUY,99.13,1,0
30,756154755,31,LIMIT_SELL,101.17,2,0
30,210768736,8,LIMIT_BUY,99.39,5,0
30,487016963,3,LIMIT_SELL,100.96000000000001,5,0
30,509504122,8,LIMIT_SELL,100.49000000000001,5,0
30,28738478,4,LIMIT_SELL,100.9,5,0
30,375445255,10,LIMIT_SELL,100.48,5,0
30,165036872,7,LIMIT_BUY,98.5,5,0
30,447002831,46,LIMIT_SELL,100.96000000000001,3,0
30,214914757,9,LIMIT_BUY,98.98,5,0
30,568355408,10,LIMIT_BUY,99.4,5,0
30,931139088,19,LIMIT_BUY,99.10000000000001,3,0
30,95785109,52,LIMIT_SELL,99.63,1,0
30,321922799,5,LIMIT_SELL,100.67,5,0
30,648019669,6,LIMIT_SELL,100.56,5,0
30,257159567,3,LIMIT_BUY,98.92,5,0
30,553247966,9,LIMIT_SELL,100.9,5,0
30,449286050,7,LIMIT_SELL,101.38,5,0
31,787423349,42,LIMIT_SELL,100.28,1,0
31,372261310,50,LIMIT_BUY,98.49000000000001,2,0
31,189883683,17,LIMIT_BUY,99.78,2,1
31,225278551,22,LIMIT_SELL,99.55,0,1
31,786323355,36,LIMIT_BUY,99.19,4,0
32,77319442,56,LIMIT_SELL,100.60000000000001,4,0
32,78460371,33,LIMIT_BUY,99.81,4,0
32,859115932,12,LIMIT_BUY,100.28,0,4
32,186212951,11,LIMIT_SELL,100.07000000000001,3,0
32,924369201,30,LIMIT_BUY,100.05,4,0
33,253417385,40,LIMIT_SELL,100.72,4,0
33,744242311,35,LIMIT_BUY,98.74000000000001,1,0
33,370392273,26,LIMIT_SELL,99.65,0,2
33,754820112,20,LIMIT_BUY,99.42,2,0
33,255925377,39,LIMIT_BUY,99.42,3,0
33,99570499,23,LIMIT_SELL,100.93,2,0
33,369833144,45,LIMIT_BUY,99.98,2,0
33,913216321,49,LIMIT_BUY,100.88,0,1
34,386583578,32,LIMIT_SELL,100.28,3,0
34,398121753,55,LIMIT_BUY,99.64,3,0
34,486634884,60,LIMIT_SELL,101.10000000000001,1,0
34,949278140,53,LIMIT_BUY,99.10000000000001,1,0
35,958897592,48,LIMIT_BUY,100.63,0,3
35,919123215,5,LIMIT_BUY,99.3,5,0
35,250959194,13,LIMIT_BUY,99.58,4,0
35,840264201,7,LIMIT_BUY,98.59,5,0
35,647650238,8,LIMIT_SELL,100.58,5,0
35,38176843,10,LIMIT_SELL,100.57000000000001,5,0
35,742696470,4,LIMIT_SELL,100.99000000000001,5,0
35,64198374,6,LIMIT_SELL,100.65,5,0
35,801285690,16,LIMIT_SELL,101.17,1,0
35,982783805,1,LIMIT_BUY,98.63,5,0
35,954150946,7,LIMIT_SELL,101.47,5,0
35,798458426,9,LIMIT_SELL,101.0,5,0
35,506012795,4,LIMIT_BUY,99.07000000000001,5,0
35,736147012,3,LIMIT_SELL,101.05,5,0
35,903749101,2,LIMIT_SELL,101.36,5,0
35,299392956,14,LIMIT_BUY,98.72,1,0
35,761081212,5,LIMIT_SELL,100.76,5,0
35,531516881,3,LIMIT_BUY,99.01,5,0
35,977579990,6,LIMIT_BUY,99.41,5,0
35,549992611,1,LIMIT_SELL,101.43,5,0
35,602028616,9,LIMIT_BUY,99.06,5,0
35,591456655,2,LIMIT_BUY,98.7,5,0
35,2817423,8,LIMIT_BUY,99.48,5,0
35,466901520,10,LIMIT_BUY,99.49000000000001,5,0
37,738756926,37,LIMIT_SELL,99.64,0,3
37,875885383,41,LIMIT_BUY,100.96000000000001,0,2
37,542678203,47,LIMIT_BUY,101.09,0,2
38,311539838,56,LIMIT_SELL,100.49000000000001,1,0
38,58659965,11,LIMIT_BUY,100.03,3,0
38,432582698,42,LIMIT_SELL,100.22,1,0
38,2991993,50,LIMIT_SELL,98.92,0,1
38,92172853,18,LIMIT_BUY,99.49000000000001,1,0
38,316188027,54,LIMIT_BUY,100.21000000000001,2,0
38,234812804,36,LIMIT_BUY,99.42,2,0
39,685463152,51,LIMIT_SELL,100.53,1,0
40,727694622,7,LIMIT_SELL,101.55,5,0
40,379151949,5,LIMIT_SELL,100.84,5,0
40,888676060,4,LIMIT_BUY,99.15,5,0
40,560819413,3,LIMIT_BUY,99.09,5,0
40,786969943,3,LIMIT_SELL,101.13,5,0
40,244673671,1,LIMIT_BUY,98.71000000000001,5,0
40,666718450,9,LIMIT_SELL,101.08,5,0
40,738545997,2,LIMIT_SELL,101.44,5,0
40,456540907,9,LIMIT_BUY,99.14,5,0
40,551765198,7,LIMIT_BUY,98.67,5,0
40,90540748,6,LIMIT_SELL,100.74000000000001,5,0
40,230900420,10,LIMIT_BUY,99.57000000000001,5,0
40,942752432,8,LIMIT_SELL,100.66,5,0
40,792135896,5,LIMIT_BUY,99.38,5,0
40,285007632,13,LIMIT_SELL,99.62,0,2
40,734032619,8,LIMIT_BUY,99.56,5,0
40,406991933,4,LIMIT_SELL,101.07000000000001,5,0
40,160877071,2,LIMIT_BUY,98.78,5,0
40,311639538,10,LIMIT_SELL,100.65,5,0
40,863677897,1,LIMIT_SELL,101.51,5,0
40,880853415,6,LIMIT_BUY,99.48,5,0
41,877799409,53,LIMIT_BUY,99.24000000000001,2,0
41,722652121,52,LIMIT_BUY,99.48,2,0
41,459684563,17,LIMIT_SELL,100.07000000000001,4,0
41,148861698,38,LIMIT_SELL,99.73,0,3
41,4634392,33,LIMIT_SELL,99.84,2,0
41,545689558,26,LIMIT_BUY,99.54,3,0
41,809157673,35,LIMIT_BUY,98.81,1,0
41,429574418,41,LIMIT_SELL,101.13,4,0
42,59365904,13,LIMIT_BUY,99.42,2,0
42,172016509,55,LIMIT_BUY,99.73,4,0
42,962822186,30,LIMIT_SELL,100.03,4,0
42,951425545,12,LIMIT_BUY,100.36,0,1
42,882396182,59,LIMIT_SELL,99.4,0,1
43,724663005,0,MARKET_SELL,,0,2
43,656553353,25,LIMIT_BUY,98.88,3,0
43,855715371,23,LIMIT_SELL,100.8,3,0
43,853999956,40,LIMIT_BUY,100.56,0,4
43,688854509,15,LIMIT_BUY,99.2,3,0
43,479653308,49,LIMIT_SELL,100.64,2,0
43,726100298,57,LIMIT_SELL,100.54,4,0
43,203466643,58,LIMIT_BUY,100.91,0,1
43,185158940,32,LIMIT_SELL,100.16,1,0
45,930558004,2,LIMIT_SELL,101.33,5,0
45,234327895,3,LIMIT_SELL,101.02,5,0
45,771115225,5,LIMIT_BUY,99.27,5,0
45,625063743,1,LIMIT_SELL,101.4,5,0
45,311921666,8,LIMIT_BUY,99.45,5,0
45,163774023,9,LIMIT_BUY,99.03,5,0
45,397385421,6,LIMIT_BUY,99.38,5,0
45,454227175,44,LIMIT_SELL,100.7,2,0
45,329208276,10,LIMIT_SELL,100.54,5,0
45,73222144,5,LIMIT_SELL,100.73,5,0
45,657186003,7,LIMIT_BUY,98.56,5,0
45,465274884,9,LIMIT_SELL,100.97,5,0
45,951405594,7,LIMIT_SELL,101.44,5,0
45,866609641,3,LIMIT_BUY,98.98,5,0
45,530029744,2,LIMIT_BUY,98.67,5,0
45,129988455,10,LIMIT_BUY,99.46000000000001,5,0
45,470886214,4,LIMIT_SELL,100.96000000000001,5,0
45,169511882,1,LIMIT_BUY,98.60000000000001,5,0
45,839056785,6,LIMIT_SELL,100.62,5,0
45,504472184,4,LIMIT_BUY,99.04,5,0
45,168279644,8,LIMIT_SELL,100.55,5,0
46,829942267,31,LIMIT_SELL,100.99000000000001,3,0
46,237385405,0,MARKET_BUY,,0,2
46,175098226,38,LIMIT_BUY,99.52,2,0
46,693989488,55,LIMIT_SELL,99.63,0,3
47,8620210,45,LIMIT_SELL,99.92,3,0
