TimeStep,AGENT_001,AGENT_002,AGENT_003,AGENT_004,AGENT_005,AGENT_006,AGENT_007,AGENT_008
0,10000.0,12000.0,14000.0,15000.0,18000.0,12000.0,14500.0,8000.0
1,11275.452025488712,11631.20754629949,16776.9908412722,17916.540391434035,21446.986880096312,11598.779927204356,13966.93059673699,8945.23080916451
2,11275.452025488712,11631.20754629949,16776.9908412722,17916.540391434035,21446.986880096312,11598.779927204356,13966.93059673699,8945.23080916451
